time,est_tau1,est_tau2,est_tau3,est_tau4,est_tau5,est_tau6,meas_tau1,meas_tau2,meas_tau3,meas_tau4,meas_tau5,meas_tau6,gt_tau1,gt_tau2,gt_tau3,gt_tau4,gt_tau5,gt_tau6
3.55534,0.942765,0.163254,-0.572332,-0.0662552,-2.69256,-0.589825,-4.70436,16.9144,8.16563,-4.52088,10.8965,4.20624,0,0,0,0,0,0
3.56031,0.963871,0.166562,-0.580632,-0.0519726,-2.68848,-0.610154,-5.51206,16.3352,8.17817,-3.44448,10.7474,5.4648,0,0,0,0,0,0
3.56533,0.985166,0.188226,-0.586933,-0.054835,-2.68368,-0.634955,-4.66102,15.7206,8.16981,-3.07188,10.9379,4.554,0,0,0,0,0,0
3.57032,1.00846,0.21984,-0.601274,-0.0640256,-2.68147,-0.630102,-5.66178,15.5985,8.86996,-2.59164,11.0704,3.38652,0,0,0,0,0,0
3.5753,1.02649,0.25012,-0.615256,-0.0685334,-2.69099,-0.620154,-4.31036,15.6733,8.10711,-3.67632,11.8156,4.13172,0,0,0,0,0,0
3.58033,1.03418,0.27703,-0.61159,-0.0646476,-2.70644,-0.623104,-5.0432,16.2289,7.83332,-3.30372,11.6996,4.4712,0,0,0,0,0,0
3.58532,1.04499,0.288538,-0.616752,-0.07471,-2.70527,-0.633662,-4.46796,16.3746,8.47077,-2.74896,10.2838,4.8852,0,0,0,0,0,0
3.59033,1.05182,0.286722,-0.620218,-0.0900603,-2.6983,-0.649939,-4.78316,16.7726,7.34844,-3.03876,11.1035,4.79412,0,0,0,0,0,0
3.59533,1.06351,0.279925,-0.611414,-0.119132,-2.70921,-0.643464,-5.01562,16.6662,7.48847,-1.81332,11.6831,3.1878,0,0,0,0,0,0
3.60032,1.07925,0.282928,-0.599156,-0.160695,-2.72294,-0.614975,-5.01562,16.6662,7.48847,-1.81332,11.6831,3.1878,0,0,0,0,0,0
3.60532,1.08217,0.284893,-0.582649,-0.167431,-2.72731,-0.607309,-4.08972,16.9105,7.25439,-4.4298,11.1283,4.91832,0,0,0,0,0,0
3.61033,1.07893,0.285452,-0.568135,-0.155731,-2.73574,-0.626981,-4.53888,16.6504,7.54281,-3.21264,11.8487,5.175,0,0,0,0,0,0
3.61532,1.08107,0.297697,-0.562012,-0.154074,-2.75873,-0.640782,-4.4128,15.8309,7.82078,-3.5604,12.1385,4.53744,0,0,0,0,0,0
3.62034,1.08753,0.334534,-0.55481,-0.160634,-2.76514,-0.63034,-4.9447,14.9878,7.61178,-2.68272,10.7474,3.17952,0,0,0,0,0,0
3.62531,1.09014,0.365846,-0.549437,-0.165027,-2.76172,-0.631229,-4.00304,15.9806,7.76644,-3.7674,11.3105,5.44824,0,0,0,0,0,0
3.6303,1.08872,0.384074,-0.547768,-0.159173,-2.78193,-0.657222,-4.48372,15.8979,7.87303,-3.36168,12.5276,5.19156,0,0,0,0,0,0
3.63533,1.0931,0.397054,-0.550803,-0.13716,-2.80933,-0.685533,-4.54282,16.024,7.88557,-5.0094,11.7824,5.58072,0,0,0,0,0,0
3.64034,1.09331,0.399085,-0.559091,-0.0994697,-2.83052,-0.692319,-4.24338,16.5638,8.21788,-4.79412,12.1468,3.70944,0,0,0,0,0,0
3.64531,1.11424,0.385283,-0.57246,-0.0806046,-2.84688,-0.679905,-6.20156,16.9302,8.08621,-3.4776,11.443,4.04892,0,0,0,0,0,0
3.65033,1.14342,0.38104,-0.578822,-0.0681886,-2.85453,-0.698741,-5.0432,16.4337,8.1092,-4.2642,11.7328,6.13548,0,0,0,0,0,0
3.65532,1.16199,0.387519,-0.573696,-0.0528487,-2.85135,-0.706302,-5.32294,16.5716,7.5449,-3.82536,10.7888,3.17124,0,0,0,0,0,0
3.66033,1.17892,0.39468,-0.55018,-0.0503328,-2.84951,-0.687463,-4.92894,16.7174,6.9179,-3.53556,11.7328,4.23108,0,0,0,0,0,0
3.66531,1.19044,0.408662,-0.539475,-0.0539522,-2.85134,-0.680772,-5.12988,15.7718,8.36418,-3.45276,11.0041,4.18968,0,0,0,0,0,0
3.67032,1.19929,0.430255,-0.54665,-0.0588356,-2.82994,-0.690256,-4.74376,15.957,8.19698,-3.46932,10.0188,5.65524,0,0,0,0,0,0
3.67524,1.20623,0.460696,-0.536766,-0.0479962,-2.79906,-0.713187,-4.8462,15.0705,7.07047,-4.44636,10.143,5.1336,0,0,0,0,0,0
3.6802,1.2127,0.492066,-0.52507,-0.0386377,-2.77324,-0.706274,-4.6886,15.5906,7.82287,-3.19608,10.1927,3.3534,0,0,0,0,0,0
3.68534,1.21227,0.496503,-0.517397,-0.0387025,-2.7551,-0.698573,-4.27884,16.6071,6.98896,-3.48588,10.3997,4.83552,0,0,0,0,0,0
3.69032,1.18921,0.482438,-0.504401,-0.0425448,-2.74622,-0.703206,-2.92742,16.7332,7.18751,-2.97252,10.6812,4.35528,0,0,0,0,0,0
3.69531,1.17471,0.463137,-0.502016,-0.0486146,-2.72216,-0.696086,-4.73982,16.879,7.68911,-3.04704,9.11628,3.75912,0,0,0,0,0,0
3.70035,1.18005,0.4369,-0.501108,-0.0517254,-2.68335,-0.683049,-4.40886,17.1508,7.17497,-3.11328,9.37296,3.88332,0,0,0,0,0,0
3.70531,1.18273,0.408883,-0.493678,-0.0558839,-2.64972,-0.672326,-4.40886,17.1508,7.17497,-3.11328,9.37296,3.88332,0,0,0,0,0,0
3.71033,1.19336,0.399165,-0.495675,-0.0603954,-2.63007,-0.676492,-5.22444,15.5,7.79988,-3.16296,10.3831,5.0508,0,0,0,0,0,0
3.71531,1.21646,0.419651,-0.499493,-0.062973,-2.62031,-0.695076,-5.22444,15.5,7.79988,-3.16296,10.3831,5.0508,0,0,0,0,0,0
3.72031,1.22861,0.436883,-0.503658,-0.0486763,-2.60194,-0.70134,-4.48372,15.8979,7.97126,-4.4712,9.80352,4.09032,0,0,0,0,0,0
3.72533,1.23211,0.449325,-0.525753,-0.0323655,-2.58502,-0.690465,-4.5704,15.5354,9.0079,-3.44448,10.2258,3.70116,0,0,0,0,0,0
3.73033,1.23685,0.462136,-0.538027,-0.0374296,-2.57672,-0.699331,-4.81468,15.9846,7.34426,-3.17124,10.5156,5.6304,0,0,0,0,0,0
3.73532,1.24125,0.464894,-0.541967,-0.0348321,-2.56145,-0.736592,-4.33794,16.4534,8.46868,-4.12344,9.78696,6.11064,0,0,0,0,0,0
3.74033,1.24291,0.45464,-0.556361,-0.0357292,-2.55076,-0.769266,-4.5704,16.7292,8.01515,-2.99736,10.7392,5.37372,0,0,0,0,0,0
3.74533,1.26082,0.428209,-0.557025,-0.0423001,-2.55896,-0.776524,-5.56328,17.6867,7.37143,-3.69288,11.2194,4.32216,0,0,0,0,0,0
3.75032,1.28316,0.389566,-0.559731,-0.0570894,-2.5761,-0.785635,-5.05502,17.4463,7.96499,-2.09484,11.2774,5.70492,0,0,0,0,0,0
3.75534,1.29664,0.364732,-0.564257,-0.0608448,-2.58807,-0.79833,-4.74376,16.7844,7.59297,-4.17312,10.8716,4.66164,0,0,0,0,0,0
3.76034,1.3056,0.347399,-0.558867,-0.0566158,-2.59837,-0.798222,-4.925,17.0641,7.31291,-3.00564,11.2691,4.52088,0,0,0,0,0,0
3.76531,1.31497,0.337065,-0.549708,-0.0652516,-2.59957,-0.794241,-4.75558,16.2604,7.27111,-2.88972,10.3086,4.347,0,0,0,0,0,0
3.77031,1.32193,0.352435,-0.548942,-0.0633536,-2.59992,-0.794922,-4.55858,15.3857,8.14055,-3.78396,11.2442,4.85208,0,0,0,0,0,0
