time,res_0,res_1,res_2,res_3,res_4,res_5,g_0,g_1,g_2,g_3,g_4,g_5,c_0,c_1,c_2,c_3,c_4,c_5,f_0,f_1,f_2,f_3,f_4,f_5,qd_raw_0,qd_raw_1,qd_raw_2,qd_raw_3,qd_raw_4,qd_raw_5,qd_smooth_0,qd_smooth_1,qd_smooth_2,qd_smooth_3,qd_smooth_4,qd_smooth_5
3.23532,0.751603,-0.790752,-0.64243,-0.194218,-3.27011,-0.518009,0.0956696,10.2546,5.43583,0.235872,3.81062,0.163032,-0.00825264,-0.0117499,-0.00783118,-0.000794559,0.00025463,0.00108007,-3.34653,6.6529,1.73554,-3.34638,4.46658,3.00031,-0.217817,0.0293215,0.167552,-0.278555,0.146608,0.213628,-0.225942,0.0304415,0.163829,-0.278926,0.141629,0.195778
3.24031,0.777147,-0.74591,-0.622049,-0.17941,-3.28083,-0.529003,0.0982682,10.2527,5.4345,0.236642,3.8077,0.162648,-0.00850556,-0.0121157,-0.00808737,-0.000828907,0.00027187,0.00110353,-3.36145,6.65472,1.73775,-3.35314,4.4699,2.98685,-0.24295,0.0314159,0.169646,-0.293215,0.144513,0.175929,-0.229999,0.0306739,0.165217,-0.282334,0.142317,0.191043
3.24532,0.795372,-0.695541,-0.599469,-0.163058,-3.28334,-0.542617,0.101849,10.2502,5.43266,0.237839,3.80421,0.162298,-0.0088304,-0.0126222,-0.0083839,-0.00087953,0.000279375,0.0011304,-3.36548,6.65974,1.74183,-3.37023,4.4797,2.9794,-0.234572,0.0335103,0.175929,-0.318348,0.150796,0.180118,-0.231095,0.0313534,0.167783,-0.290962,0.144349,0.188426
3.25031,0.812477,-0.638806,-0.571239,-0.149117,-3.27614,-0.552075,0.105009,10.2482,5.43113,0.239361,3.80108,0.162094,-0.00925885,-0.013482,-0.00891065,-0.000962772,0.000260964,0.0011768,-3.37588,6.66644,1.74413,-3.39306,4.50882,2.97093,-0.24295,0.0356047,0.173835,-0.339292,0.169646,0.175929,-0.233922,0.0323672,0.169226,-0.302487,0.150381,0.185446
3.2553,0.823369,-0.584614,-0.554929,-0.137192,-3.26239,-0.56106,0.108319,10.2457,5.42936,0.240118,3.79748,0.161622,-0.00933258,-0.013776,-0.00918265,-0.00098267,0.000186687,0.00117056,-3.39853,6.66501,1.7403,-3.39462,4.48756,3.00716,-0.259705,0.0314159,0.159174,-0.305782,0.131947,0.238761,-0.240082,0.0321399,0.166825,-0.303274,0.145977,0.198184
3.26031,0.825425,-0.533662,-0.544578,-0.123256,-3.24412,-0.564849,0.111518,10.2436,5.42779,0.241663,3.79434,0.161441,-0.00942756,-0.0140285,-0.00940903,-0.0010266,0.000140334,0.00116534,-3.41766,6.65692,1.73899,-3.3819,4.48103,3.02908,-0.261799,0.0272271,0.163363,-0.27646,0.140324,0.230383,-0.245282,0.0309637,0.165996,-0.296854,0.144623,0.205893
3.26532,0.820382,-0.485237,-0.538945,-0.108251,-3.22182,-0.56439,0.111518,10.2436,5.42779,0.241663,3.79434,0.161441,-0.00942963,-0.0140624,-0.00948838,-0.00102834,0.000112139,0.00116389,-3.4322,6.64984,1.73798,-3.37223,4.47606,3.04576,-0.261799,0.0272271,0.163363,-0.27646,0.140324,0.230383,-0.249236,0.0300691,0.165365,-0.291971,0.143594,0.211757
3.27032,0.813479,-0.437003,-0.536665,-0.0968609,-3.19996,-0.564768,0.118183,10.239,5.42437,0.244215,3.78723,0.160735,-0.00972196,-0.0148041,-0.00989785,-0.00110898,7.90803e-05,0.00117563,-3.42484,6.65249,1.73802,-3.38273,4.49885,3.06268,-0.240855,0.0314159,0.165457,-0.314159,0.163363,0.236667,-0.247234,0.0303908,0.165387,-0.297271,0.148316,0.217707
3.27532,0.804979,-0.389637,-0.53766,-0.0881734,-3.17884,-0.566174,0.118183,10.239,5.42437,0.244215,3.78723,0.160735,-0.00979692,-0.0150666,-0.0100302,-0.00112275,5.77186e-05,0.00118804,-3.41923,6.65443,1.73804,-3.39073,4.51621,3.07558,-0.240855,0.0314159,0.165457,-0.314159,0.163363,0.236667,-0.245709,0.0306359,0.165404,-0.301309,0.151913,0.22224
3.28033,0.797283,-0.343945,-0.53638,-0.0785962,-3.1568,-0.569132,0.125292,10.2339,5.42065,0.24677,3.77973,0.160007,-0.0102798,-0.0158709,-0.0105064,-0.0012115,5.62205e-05,0.00121274,-3.42418,6.6477,1.74445,-3.40377,4.52944,3.06971,-0.251327,0.0272271,0.182212,-0.32882,0.163363,0.213628,-0.247054,0.0298199,0.169427,-0.307894,0.154654,0.220178
3.28531,0.790655,-0.301059,-0.533723,-0.0677699,-3.13454,-0.573323,0.125292,10.2339,5.42065,0.24677,3.77973,0.160007,-0.0104941,-0.0161761,-0.0106876,-0.00123292,5.97394e-05,0.0012353,-3.42792,6.64203,1.7493,-3.41366,4.53946,3.06527,-0.251327,0.0272271,0.182212,-0.32882,0.163363,0.213628,-0.248073,0.0292017,0.172476,-0.312884,0.156731,0.218617
3.2903,0.793575,-0.266544,-0.531629,-0.0606263,-3.111,-0.577196,0.13211,10.2291,5.41707,0.249356,3.77221,0.159279,-0.0106239,-0.0162418,-0.0106795,-0.00127461,0.000124282,0.00121906,-3.41791,6.63735,1.7522,-3.40237,4.53504,3.0505,-0.236667,0.0272271,0.180118,-0.289027,0.152891,0.196873,-0.245349,0.0287302,0.174301,-0.307186,0.155814,0.213424
3.2953,0.804631,-0.239635,-0.530133,-0.0573092,-3.0865,-0.580525,0.13211,10.2291,5.41707,0.249356,3.77221,0.159279,-0.0105657,-0.0159671,-0.0104816,-0.00125842,0.000174293,0.00121015,-3.41028,6.63354,1.75442,-3.39378,4.53166,3.03925,-0.236667,0.0272271,0.180118,-0.289027,0.152891,0.196873,-0.243274,0.028371,0.175691,-0.302847,0.155115,0.209469
3.30031,0.819791,-0.227301,-0.529304,-0.0572613,-3.05906,-0.576832,0.14045,10.2229,5.41266,0.252134,3.76352,0.158394,-0.01092,-0.0167076,-0.0109616,-0.00133884,0.000115973,0.00121627,-3.42106,6.61111,1.7569,-3.4061,4.53394,3.03353,-0.255516,0.020944,0.182212,-0.32882,0.15708,0.201062,-0.246207,0.0265921,0.177253,-0.309068,0.155586,0.207456
